SKU;ABC Class;XYZ Class;Average Unit Cost;Stock Cost;Order Cost;Total Cost;Total Ordered Units;Total Demand;Total Stockout;Stockout Rate;Alpha Service Level;Beta Service Level;Average Inventory Level;Average Daily Demand;Stock Coverage (days);Stockout Days;Total Days
DAZV00ZDO;C;Z;3,73;27,79;12695,65;12723,44;3276,0;1278,0;54,0;4,23;98,99;95,77;693,64;6,45;107,46;2;198
DCCI03FJF;C;Z;3,95;128,0;0,0;128,0;0,0;6480,0;0,0;0,0;100,0;100,0;3022,55;32,73;92,36;0;198
DCYY41OXM;B;X;1,39;29,07;79306,5;79335,57;51444,0;40986,0;912,0;2,23;97,47;97,77;2127,94;207,0;10,28;5;198
DDHH31OLZ;B;Z;1,79;22,63;52393,76;52416,39;27060,0;17670,0;1690,0;9,56;98,48;90,44;1248,64;89,24;13,99;3;198
DDQO79YYY;C;Z;4,07;29,62;36502,53;36532,15;8640,0;7834,0;664,0;8,48;95,96;91,52;706,14;39,57;17,85;8;198
DDZF92MUD;C;Y;3,75;1,46;0,0;1,46;0,0;2784,0;2232,0;80,17;93,43;19,83;38,63;14,06;2,75;13;198
DECH95SPM;B;Y;2,4;165,15;181656,81;181821,96;71280,0;62330,0;0,0;0,0;100,0;100,0;6661,31;314,8;21,16;0;198
DENH39GDU;C;Z;3,7;1,48;2910,07;2911,56;756,0;2208,0;1224,0;55,43;96,97;44,57;41,97;11,15;3,76;6;198
DETF05GUN;B;Y;4,1;66,78;227810,76;227877,54;53568,0;19416,0;2672,0;13,76;97,47;86,24;1584,89;98,06;16,16;5;198
DEUT18EKM;C;Y;2,18;20,3;0,0;20,3;0,0;714,0;0,0;0,0;100,0;100,0;860,93;3,61;238,75;0;198
DEZG49HBU;C;Y;2,42;11,64;15769,6;15781,24;6144,0;5090,0;80,0;1,57;99,49;98,43;469,39;25,71;18,26;1;198
DFEL35GOO;C;Z;1,22;10,42;20670,63;20681,05;15120,0;15390,0;3672,0;23,86;89,9;76,14;848,18;77,73;10,91;20;198
DGID45KCK;A;X;2,14;99,29;214638,94;214738,23;93612,0;57448,0;0,0;0,0;100,0;100,0;4560,91;290,14;15,72;0;198
DHWN85BFH;C;Z;5,44;33,12;60118,51;60151,63;10752,0;7266,0;344,0;4,73;97,47;95,27;595,96;36,7;16,24;5;198
DISR36IAW;B;Z;0,57;64,15;85492,36;85556,52;119040,0;134722,0;1380,0;1,02;97,98;98,98;11080,3;680,41;16,28;4;198
DJCG91CEP;C;Z;3,3;2,17;1657,35;1659,52;480,0;1676,0;1284,0;76,61;87,37;23,39;62,51;8,46;7,38;25;198
DJDD16MJM;B;X;3,3;22,93;52860,96;52883,89;15300,0;19248,0;2316,0;12,03;93,94;87,97;725,03;97,21;7,46;12;198
DJSM93SUD;B;Z;1,25;24,12;17158,01;17182,13;12240,0;17315,0;0,0;0,0;100,0;100,0;1863,23;87,45;21,31;0;198
DJVI99GND;B;Y;3,54;70,01;105690,05;105760,06;28650,0;34251,0;1806,0;5,27;95,96;94,73;1987,18;172,98;11,49;8;198
DKDE49QWW;C;Y;2,6;8,99;7029,48;7038,47;2560,0;2968,0;856,0;28,84;94,95;71,16;329,9;14,99;22,01;10;198
DKEY88BQS;B;Y;0,24;3,53;11141,57;11145,1;28224,0;24016,0;1536,0;6,4;95,96;93,6;1443,23;121,29;11,9;8;198
DLGZ60BGP;C;Y;2,27;27,66;44412,21;44439,86;18360,0;19450,0;3620,0;18,61;91,92;81,39;1203,38;98,23;12,25;16;198
DLPB83LMJ;C;Y;1,72;2,8;0,0;2,8;0,0;1092,0;0,0;0,0;100,0;100,0;155,48;5,52;28,19;0;198
DLRA77DWW;C;Z;9,23;30,8;0,0;30,8;0,0;552,0;0,0;0,0;100,0;100,0;310,3;2,79;111,3;0;198
DLWL95GVA;C;Z;3,75;0,32;624,28;624,6;160,0;2830,0;2760,0;97,53;58,59;2,47;8,18;14,29;0,57;82;198
DMHG88IKV;A;X;0,5;29,88;99039,26;99069,14;153216,0;124325,0;270,0;0,22;98,99;99,78;6174,87;627,9;9,83;2;198
DMND61MOE;B;Z;4,89;45,29;17411,71;17457,0;3456,0;5408,0;0,0;0,0;100,0;100,0;881,29;27,31;32,27;0;198
DMWW72ZFU;B;X;7,19;124,98;300877,76;301002,74;41008,0;35692,0;1768,0;4,95;97,98;95,05;1774,18;180,26;9,84;4;198
DMXD68DCV;A;X;3,56;175,5;275986,29;276161,79;74304,0;61488,0;600,0;0,98;99,49;99,02;4845,94;310,55;15,6;1;198
DMXX95UHE;C;X;4,08;15,63;7305,06;7320,69;1728,0;1518,0;0,0;0,0;100,0;100,0;361,09;7,67;47,1;0;198
DNKD63EQL;C;Y;0,67;11,49;7905,31;7916,79;9600,0;4530,0;0,0;0,0;100,0;100,0;1594,85;22,88;69,71;0;198
DOLF60TDO;B;Y;3,78;181,99;370706,18;370888,17;94320,0;90813,0;1518,0;1,67;97,98;98,33;4888,21;458,65;10,66;4;198
DOVH26ICA;C;X;2,75;16,14;9146,75;9162,9;3150,0;3000,0;0,0;0,0;100,0;100,0;555,45;15,15;36,66;0;198
DPFP00PPJ;B;Y;3,67;93,91;227310,73;227404,64;59520,0;39662,0;1608,0;4,05;97,98;95,95;2551,25;200,31;12,74;4;198
DQDW59EWW;C;Z;6,42;3,8;0,0;3,8;0,0;416,0;0,0;0,0;100,0;100,0;56,63;2,1;26,95;0;198
DQIB46WZL;A;Z;0,18;21,12;128316,42;128337,54;384384,0;380100,0;78260,0;20,59;95,96;79,41;12113,78;1919,7;6,31;8;198
DQST71BFV;C;Y;0,31;4,18;0,0;4,18;0,0;4432,5;0,0;0,0;100,0;100,0;1280,76;22,39;57,21;0;198
DRIH34TYV;C;Z;1,93;0,09;0,0;0,09;0,0;24,0;0,0;0,0;100,0;100,0;4,24;0,12;35,0;0;198
DRNI18DTG;C;Y;1,67;8,37;6993,9;7002,27;3840,0;3272,0;0,0;0,0;100,0;100,0;478,06;16,53;28,93;0;198
DRRK91SFW;C;X;4,31;28,07;50743,85;50771,93;11376,0;8910,0;0,0;0,0;100,0;100,0;645,24;45,0;14,34;0;198
DRSF41ZYM;B;X;1,64;56,18;108039,27;108095,46;60480,0;56216,0;2424,0;4,31;96,97;95,69;3436,28;283,92;12,1;6;198
DSCF88MNK;C;Z;5,07;52,38;0,0;52,38;0,0;1502,0;0,0;0,0;100,0;100,0;960,73;7,59;126,65;0;198
DSXA45MHY;C;Y;2,06;26,34;30367,28;30393,62;13728,0;11346,0;0,0;0,0;100,0;100,0;1234,67;57,3;21,55;0;198
DTHH24RED;C;Z;7,35;23,81;32532,75;32556,56;4336,0;3458,0;0,0;0,0;100,0;100,0;315,91;17,46;18,09;0;198
DUNO11XHP;C;X;2,73;39,65;30126,06;30165,71;10450,0;7805,0;0,0;0,0;100,0;100,0;1376,72;39,42;34,93;0;198
DUVM50USJ;A;X;0,68;147,71;362978,24;363125,95;438336,0;348816,0;984,0;0,28;99,49;99,72;21835,27;1761,7;12,39;1;198
DUVP29CJD;C;X;3,1;22,34;36077,07;36099,41;11088,0;14604,0;5106,0;34,96;88,89;65,04;711,36;73,76;9,64;22;198
DVIH38MJZ;C;Z;3,42;36,54;25624,0;25660,53;7182,0;7662,0;84,0;1,1;98,99;98,9;1023,58;38,7;26,45;2;198
DVKW42JPW;C;Y;20,4;10,0;7891,72;7901,72;384,0;462,0;48,0;10,39;98,99;89,61;47,27;2,33;20,26;2;198
DWFK27YVX;B;Z;8,75;8,36;7477,53;7485,89;840,0;13460,0;13460,0;100,0;85,35;0,0;88,03;67,98;1,29;29;198
DWXW23ROK;C;Y;3,75;18,33;6742,45;6760,78;1728,0;2358,0;0,0;0,0;100,0;100,0;462,3;11,91;38,82;0;198
DXIM33ZCA;C;X;2,2;24,13;19727,65;19751,77;8400,0;6885,0;135,0;1,96;98,48;98,04;1045,53;34,77;30,07;3;198
DYDY24MSI;B;Z;1,72;53,33;70589,47;70642,8;37760,0;49619,0;12968,0;26,14;91,41;73,86;3044,0;250,6;12,15;17;198
DYNA08VND;C;Z;1,84;71,96;33784,09;33856,05;16992,0;11688,0;5520,0;47,23;96,46;52,77;3639,15;59,03;61,65;7;198
DYNJ09FYL;C;Y;3,95;38,48;12950,76;12989,24;3159,0;2567,5;0,0;0,0;100,0;100,0;910,92;12,97;70,25;0;198
DZGP51BXD;C;Z;2,27;34,06;25967,71;26001,77;10752,0;18572,0;7576,0;40,79;92,42;59,21;1441,45;93,8;15,37;15;198
DZTV28HGD;C;Z;5,79;10,86;12830,09;12840,94;2160,0;2164,0;0,0;0,0;100,0;100,0;183,78;10,93;16,82;0;198
DZUE62FEX;B;Z;5,14;12,78;4401,04;4413,82;832,0;5728,0;4472,0;78,07;74,75;21,93;235,6;28,93;8,14;50;198
EAFE90WKR;B;Y;1,6;13,83;20311,04;20324,87;11616,0;13220,0;0,0;0,0;100,0;100,0;863,96;66,77;12,94;0;198
EAVM81BXB;C;Y;5,03;114,3;54346,09;54460,39;10494,0;7717,5;0,0;0,0;100,0;100,0;2134,0;38,98;54,75;0;198
EAZW56VJA;C;Z;4,75;26,45;36311,53;36337,98;7416,0;8050,5;891,0;11,07;95,96;88,93;549,82;40,66;13,52;8;198
EBBS11TLR;C;X;1,45;6,28;9692,25;9698,53;6048,0;5004,0;24,0;0,48;99,49;99,52;423,52;25,27;16,76;1;198
EBOS00RII;C;Z;4,18;32,54;12438,07;12470,61;2870,0;2795,0;430,0;15,38;96,97;84,62;728,79;14,12;51,63;6;198
ECKB59VZZ;B;X;1,75;35,29;80028,0;80063,29;42120,0;36504,0;1056,0;2,89;97,98;97,11;2037,64;184,36;11,05;4;198
EDRV73GXD;C;X;4,04;25,67;16102,96;16128,62;3840,0;3909,0;66,0;1,69;99,49;98,31;604,52;19,74;30,62;1;198
EEPK36WCP;C;X;1,71;18,37;28834,15;28852,52;15540,0;10782,0;0,0;0,0;100,0;100,0;1047,15;54,45;19,23;0;198
EEVG71ZRL;A;X;0,41;854,48;2088003,27;2088857,75;3734640,0;3039187,5;0,0;0,0;100,0;100,0;207871,64;15349,43;13,54;0;198
EFRT03INZ;A;X;1,13;1245,49;4139615,18;4140860,66;3227040,0;2795355,0;0,0;0,0;100,0;100,0;115459,55;14117,95;8,18;0;198
EFRT58ZXO;B;Z;1,46;65,64;65123,08;65188,72;40368,0;131226,0;88464,0;67,41;74,24;32,59;4350,61;662,76;6,56;51;198
EGBS04MIC;A;X;0,9;43,43;77771,08;77814,51;73920,0;61060,0;0,0;0,0;100,0;100,0;4745,66;308,38;15,39;0;198
EGDC22FMA;C;Y;2,46;26,85;7278,84;7305,69;2790,0;2430,0;0,0;0,0;100,0;100,0;1018,69;12,27;83,0;0;198
EHMN85AVL;B;X;1,97;10,13;30961,76;30971,89;14592,0;15720,0;4304,0;27,38;87,37;72,62;531,23;79,39;6,69;25;198
EILO87FSQ;A;X;1,47;95,16;138858,33;138953,49;85500,0;97467,0;19260,0;19,76;91,92;80,24;6345,3;492,26;12,89;16;198
EJEL16XKW;C;Z;3,18;30,37;5668,48;5698,85;1700,0;1570,0;0,0;0,0;100,0;100,0;887,07;7,93;111,87;0;198
EJNQ36YZQ;C;Y;19,14;31,23;7427,36;7458,59;385,0;539,0;84,0;15,58;99,49;84,42;152,66;2,72;56,08;1;198
EJXK43CIV;C;Y;3,7;21,16;22616,22;22637,38;5880,0;4298,0;301,0;7,0;96,97;93,0;547,8;21,71;25,24;6;198
EJYJ78YSW;C;Y;4,74;37,64;21129,15;21166,79;4320,0;2772,0;48,0;1,73;99,49;98,27;745,52;14,0;53,25;1;198
EKGC04LZQ;B;Y;2,26;63,84;59794,03;59857,87;24786,0;28282,0;0,0;0,0;100,0;100,0;2743,85;142,84;19,21;0;198
EKSV29ZXO;B;X;3,78;91,22;257513,45;257604,67;65520,0;52162,0;5571,0;10,68;96,46;89,32;2459,41;263,44;9,34;7;198
EKZD71FSB;C;Y;3,6;8,74;356,39;365,13;95,0;570,0;225,0;39,47;98,99;60,53;225,38;2,88;78,29;2;198
EMGH86RXJ;A;X;0,06;2,36;22464,0;22466,36;104832,0;107184,0;10304,0;9,61;95,45;90,39;3875,88;541,33;7,16;9;198
ENFR62LON;B;X;2,01;49,97;55921,43;55971,41;25920,0;18710,0;100,0;0,53;98,99;99,47;2388,48;94,49;25,28;2;198
ENMS51USW;C;Y;2,87;21,25;7102,72;7123,97;2352,0;1818,0;552,0;30,36;94,95;69,64;688,97;9,18;75,04;10;198
ENNH63UYJ;B;Y;1,73;90,29;138378,08;138468,36;73638,0;79478,0;0,0;0,0;100,0;100,0;5214,03;401,4;12,99;0;198
EOCA29ISV;C;Z;5,26;171,68;54488,84;54660,52;10080,0;8440,0;0,0;0,0;100,0;100,0;3053,43;42,63;71,63;0;198
EORW09QCA;C;X;19,1;111,28;128763,67;128874,95;6688,0;6662,0;52,0;0,78;99,49;99,22;570,3;33,65;16,95;1;198
EOWT02POH;C;Z;0,89;8,38;18106,63;18115,01;17416,0;25914,0;9380,0;36,2;93,43;63,8;951,29;130,88;7,27;13;198
EPWC52AUO;A;X;0,35;270,2;917061,39;917331,6;1820500,0;1248662,5;0,0;0,0;100,0;100,0;76710,73;6306,38;12,16;0;198
EQTQ03IXQ;B;;0,31;53,82;45739,86;45793,68;99360,0;60570,0;2340,0;3,86;98,48;96,14;16277,73;305,91;53,21;3;198
EQUZ91VJN;C;Z;2,74;0,48;0,0;0,48;0,0;1818,0;0,0;0,0;100,0;100,0;25,18;9,18;2,74;0;198
ERIM01DPG;C;X;5,75;20,83;48553,99;48574,83;8232,0;6878,0;12,0;0,17;98,99;99,83;368,71;34,74;10,61;2;198
ERIO34WXJ;B;X;0,59;62,59;67494,32;67556,9;90720,0;76660,0;0,0;0,0;100,0;100,0;10099,39;387,17;26,09;0;198
ESGO82VKN;C;Z;6,38;7,95;57010,14;57018,09;8736,0;3074,0;824,0;26,81;96,46;73,19;126,28;15,53;8,13;7;198
ESNE13YPM;C;Y;5,55;1,97;3191,22;3193,19;560,0;1080,0;300,0;27,78;97,47;72,22;36,67;5,45;6,72;5;198
ESNI97XJF;A;X;0,51;128,31;161765,84;161894,16;245024,0;191516,0;0,0;0,0;100,0;100,0;24148,09;967,25;24,97;0;198
ETHD21MRJ;B;Z;1,47;67,09;101420,18;101487,27;62448,0;102716,0;43967,0;42,8;88,38;57,2;4491,68;518,77;8,66;23;198
ETOZ73RPG;A;Y;2,06;66,16;170099,26;170165,42;76896,0;202110,0;122976,0;60,85;87,88;39,15;3357,0;1020,76;3,29;24;198
EUAQ00JNU;C;Z;6,84;0,0;0,0;0,0;0,0;10,0;10,0;100,0;99,49;0,0;0,0;0,05;0,0;1;198
EUEC33VDU;C;Z;2,83;29,74;6043,01;6072,75;2028,0;1680,0;972,0;57,86;95,96;42,14;972,3;8,48;114,59;8;198
EUKN02AQD;C;Z;1,98;9,28;1685,33;1694,61;792,0;1920,0;168,0;8,75;99,49;91,25;441,09;9,7;45,49;1;198
EUQJ35PNX;C;Y;4,1;106,21;51964,36;52070,58;12240,0;11520,0;0,0;0,0;100,0;100,0;2448,64;58,18;42,09;0;198
EVTW65WNM;C;Y;2,27;30,23;33908,73;33938,96;14040,0;16231,5;0,0;0,0;100,0;100,0;1312,18;81,98;16,01;0;198
EWDZ03KHM;C;;1,46;21,38;0,0;21,38;0,0;1620,0;120,0;7,41;99,49;92,59;1361,82;8,18;166,44;1;198
EWFE27WFU;C;X;0,27;5,73;6033,1;6038,83;14400,0;11725,0;0,0;0,0;100,0;100,0;2022,73;59,22;34,16;0;198
EWFT71UVQ;B;Y;9,08;70,04;151583,97;151654,01;16416,0;28002,0;12696,0;45,34;87,88;54,66;788,0;141,42;5,57;24;198
EWIH71EDZ;B;Z;1,41;2,89;4215,64;4218,53;2700,0;71411,0;68611,0;96,08;58,08;3,92;203,03;360,66;0,56;83;198
EWQN11HAC;A;Y;1,18;93,95;103474,28;103568,23;77694,0;93814,0;0,0;0,0;100,0;100,0;7801,18;473,81;16,46;0;198
EXHX97JSF;C;Y;2,05;3,71;2110,03;2113,73;960,0;1250,0;0,0;0,0;100,0;100,0;173,08;6,31;27,42;0;198
EXPM07IKN;C;X;4,92;10,79;27832,0;27842,79;5488,0;4996,0;216,0;4,32;96,46;95,68;226,14;25,23;8,96;7;198
EXUJ38JPL;C;Z;3,79;15,02;3117,48;3132,5;792,0;582,0;0,0;0,0;100,0;100,0;368,67;2,94;125,42;0;198
EYKJ62LHJ;C;Z;3,97;0,63;1014,15;1014,78;246,0;266,0;62,0;23,31;95,45;76,69;15,65;1,34;11,65;9;198
EYRH43VWB;B;Y;1,6;120,76;139404,32;139525,08;79596,0;84381,5;0,0;0,0;100,0;100,0;7376,7;426,17;17,31;0;198
EZHF94FIP;B;Z;6,23;897,0;497395,34;498292,33;77924,0;35849,0;0,0;0,0;100,0;100,0;13445,39;181,06;74,26;0;198
EZVC35JWO;C;;2,08;0,8;3859,2;3860,0;1728,0;2268,0;0,0;0,0;100,0;100,0;46,77;11,45;4,08;0;198
FADF43BYH;B;X;2,91;89,83;151895,47;151985,3;49600,0;51800,0;5380,0;10,39;95,96;89,61;3077,27;261,62;11,76;8;198
FALA86UKJ;C;Z;2,48;13,43;9618,65;9632,08;3664,0;6592,0;0,0;0,0;100,0;100,0;533,58;33,29;16,03;0;198
FANH24JCJ;B;X;3,4;134,48;203805,8;203940,29;57456,0;46764,0;90,0;0,19;98,99;99,81;3884,45;236,18;16,45;2;198
FAVC49ZQG;B;X;1,61;25,9;68532,85;68558,74;38880,0;29062,0;96,0;0,33;98,99;99,67;1626,51;146,78;11,08;2;198
FBAC36ALE;C;Z;1,44;1,7;5349,22;5350,92;3360,0;4382,0;504,0;11,5;98,99;88,5;128,26;22,13;5,8;2;198
FBKY82IGW;C;X;2,63;23,16;19529,25;19552,41;7020,0;5750,0;0,0;0,0;100,0;100,0;840,0;29,04;28,93;0;198
FCWC58ZGA;B;X;2,25;91,22;140894,36;140985,58;58752,0;51840,0;1056,0;2,04;98,99;97,96;3996,48;261,82;15,26;2;198
FDDX32NBQ;A;X;5,94;642,7;1153522,77;1154165,47;189504,0;146392,0;3684,0;2,52;99,49;97,48;10698,48;739,35;14,47;1;198
FDNK25WTI;B;X;7,57;65,3;131826,55;131891,85;17080,0;19884,0;2104,0;10,58;95,45;89,42;885,13;100,42;8,81;9;198
FDPC43EZS;C;Z;1,89;15,94;34610,04;34625,97;16996,0;17552,5;3122,0;17,79;91,92;82,21;851,6;88,65;9,61;16;198
FENW88PSP;B;X;4,44;172,3;172619,38;172791,68;37632,0;28236,0;1224,0;4,33;97,98;95,67;3715,76;142,61;26,06;4;198
FEZG07UJN;C;;4,37;4,8;2821,89;2826,7;624,0;1128,0;768,0;68,09;98,48;31,91;103,09;5,7;18,1;3;198
FEZS07UUZ;B;Z;1,95;46,75;98372,04;98418,79;46860,0;22390,0;890,0;3,97;97,47;96,03;2319,19;113,08;20,51;5;198
FFGT42CIV;C;Z;6,99;23,62;41959,76;41983,38;5880,0;8400,0;1545,0;18,39;99,49;81,61;346,29;42,42;8,16;1;198
FFIA76SPB;C;X;1,1;20,71;6770,0;6790,71;5400,0;8838,0;0,0;0,0;100,0;100,0;1774,3;44,64;39,75;0;198
FFNZ08VUQ;C;X;7,53;74,11;94570,85;94644,96;12320,0;10380,0;160,0;1,54;99,49;98,46;959,24;52,42;18,3;1;198
FFTI00IAF;C;Z;3,54;45,97;73042,34;73088,31;19800,0;20154,0;252,0;1,25;98,99;98,75;1297,79;101,79;12,75;2;198
FHOD96CFO;B;Z;1,6;10,32;0,0;10,32;0,0;2728,0;924,0;33,87;99,49;66,13;604,89;13,78;43,9;1;198
FILI14GUK;A;X;1,5;73,81;152507,73;152581,54;92640,0;77670,0;750,0;0,97;98,99;99,03;4935,45;392,27;12,58;2;198
FINQ79LCW;B;X;2,06;43,46;82819,86;82863,32;37440,0;37041,0;7416,0;20,02;93,94;79,98;2092,24;187,08;11,18;12;198
FJAF09OWD;B;Y;1,52;16,1;19849,5;19865,6;11880,0;13395,0;0,0;0,0;100,0;100,0;1043,54;67,65;15,43;0;198
FJAJ72CBS;C;Z;6,43;41,18;20851,2;20892,38;3168,0;2272,0;0,0;0,0;100,0;100,0;601,62;11,47;52,43;0;198
FJAM67ERH;A;X;4,28;283,38;561773,14;562056,52;126852,0;97473,0;3990,0;4,09;97,98;95,91;6576,91;492,29;13,36;4;198
FJOZ43CSH;B;X;3,49;53,34;71931,29;71984,63;19764,0;17255,0;0,0;0,0;100,0;100,0;1496,08;87,15;17,17;0;198
FJUA69DZU;C;X;3,57;11,45;12366,82;12378,27;3325,0;2677,5;60,0;2,24;98,99;97,76;308,96;13,52;22,85;2;198
FJVE86HCI;A;Y;0,18;171,49;736615,22;736786,71;2229120,0;1838633,0;5340,0;0,29;99,49;99,71;96852,12;9286,03;10,43;1;198
FKKM55CDJ;C;X;4,0;120,22;39882,67;40002,88;9600,0;8960,0;80,0;0,89;98,99;99,11;2811,92;45,25;62,14;2;198
FKSJ75PLK;C;;4,54;12,29;21376,73;21389,02;4560,0;1070,0;0,0;0,0;100,0;100,0;255,05;5,4;47,2;0;198
FKTJ89LEA;A;X;1,56;165,49;114997,71;115163,2;67200,0;83640,0;2880,0;3,44;98,48;96,56;10177,88;422,42;24,09;3;198
FLFD69QMH;A;X;2,11;161,62;368029,21;368190,83;163160,0;120721,0;0,0;0,0;100,0;100,0;7684,44;609,7;12,6;0;198
FMLD62KEI;C;Y;18,65;205,82;281424,83;281630,65;14970,0;9655,0;300,0;3,11;97,98;96,89;1064,49;48,76;21,83;4;198
FMPX53XWF;C;Z;6,02;58,03;68871,45;68929,48;11160,0;5334,0;0,0;0,0;100,0;100,0;915,27;26,94;33,98;0;198
FNEA23ISC;B;Y;1,37;20,14;56024,83;56044,97;36800,0;35690,0;7620,0;21,35;95,45;78,65;1494,34;180,25;8,29;9;198
FNPP45YQP;C;Z;1,75;31,43;36182,13;36213,56;19008,0;18176,0;0,0;0,0;100,0;100,0;1743,67;91,8;18,99;0;198
FNVU51FNV;C;Y;3,54;35,97;49358,91;49394,89;13380,0;14400,0;822,0;5,71;97,47;94,29;1005,42;72,73;13,82;5;198
FOBR22MSN;C;Z;3,0;4,23;4586,4;4590,63;1456,0;455,0;0,0;0,0;100,0;100,0;132,23;2,3;57,54;0;198
FOBV94GVR;A;X;0,52;240,06;1191619,31;1191859,37;1771326,0;1149345,0;0,0;0,0;100,0;100,0;48133,55;5804,77;8,29;0;198
FOGA28EEH;C;X;2,65;21,89;44409,24;44431,13;15834,0;11242,0;56,0;0,5;99,49;99,5;816,42;56,78;14,38;1;198
FOHG70IFB;C;Y;3,56;27,07;6685,71;6712,78;1800,0;2700,0;120,0;4,44;97,98;95,56;713,03;13,64;52,29;4;198
FOII60HZR;C;Y;4,09;5,76;678,44;684,2;160,0;152,0;0,0;0,0;100,0;100,0;130,51;0,77;170,0;0;198
FOIO82HHP;B;Y;6,86;156,03;532432,81;532588,85;75996,0;61699,0;20174,0;32,7;95,45;67,3;2307,42;311,61;7,4;9;198
FONF77ACB;C;Y;3,26;32,99;27977,0;28009,99;8208,0;7536,0;24,0;0,32;99,49;99,68;971,09;38,06;25,51;1;198
FPAT69PGK;C;Z;4,44;21,54;6605,33;6626,87;1440,0;3670,0;1780,0;48,5;90,4;51,5;456,97;18,54;24,65;19;198
FPRL32UKT;A;Z;2,56;35,61;55190,65;55226,26;20374,4;20489,0;5653,5091;27,59;90,4;72,41;1357,61;103,48;13,12;19;198
FQDL25EZN;C;Y;5,07;1,06;0,0;1,06;0,0;204,0;0,0;0,0;100,0;100,0;20,36;1,03;19,76;0;198
FQFJ16SHW;A;X;0,59;52,22;118475,09;118527,32;161150,0;161475,0;10300,0;6,38;96,97;93,62;8989,14;815,53;11,02;6;198
FQOF49BSR;C;Y;4,67;39,42;29984,49;30023,9;6216,0;9652,0;3232,0;33,49;91,92;66,51;809,78;48,75;16,61;16;198
FQPR58URQ;A;X;0,24;233,69;914066,42;914300,1;2325540,0;1836930,0;0,0;0,0;100,0;100,0;97895,76;9277,42;10,55;0;198
FRAM30OZP;B;X;5,54;63,45;143976,4;144039,85;25296,0;20283,0;390,0;1,92;98,48;98,08;1155,88;102,44;11,28;3;198
FRYD32BWK;B;Z;0,71;23,43;63736,06;63759,48;73920,0;94570,0;27090,0;28,65;89,39;71,35;3372,37;477,63;7,06;21;198
FSCF22PDZ;B;X;1,26;49,51;107767,41;107816,93;76512,0;61296,0;144,0;0,23;99,49;99,77;3935,27;309,58;12,71;1;198
FSNK66QLG;B;X;3,76;104,7;211975,95;212080,65;54210,0;45175,0;6665,0;14,75;93,94;85,25;2760,96;228,16;12,1;12;198
FSVM04JSS;B;X;3,7;98,27;155082,67;155180,94;40320,0;30810,0;0,0;0,0;100,0;100,0;2606,06;155,61;16,75;0;198
FSYJ54YAN;C;X;3,09;3,09;3961,27;3964,36;1224,0;846,0;0,0;0,0;100,0;100,0;96,67;4,27;22,62;0;198
FTHK04EQC;C;Z;3,02;8,96;14848,36;14857,32;4680,0;7866,0;4716,0;59,95;89,9;40,05;289,03;39,73;7,28;20;198
FTQE01RPT;A;X;0,53;129,37;204814,5;204943,88;300352,0;229686,0;0,0;0,0;100,0;100,0;23578,19;1160,03;20,33;0;198
FTQI85QCD;C;Y;3,67;5,39;710,36;715,75;186,0;78,0;0,0;0,0;100,0;100,0;135,88;0,39;344,92;0;198
FTQW61QYL;C;X;3,75;19,06;46650,87;46669,93;11956,0;9998,0;72,0;0,72;99,49;99,28;518,26;50,49;10,26;1;198
FTVN35LTE;C;Z;17,12;82,04;0,0;82,04;0,0;3204,0;588,0;18,35;94,95;81,65;454,97;16,18;28,12;10;198
FTZN25UZH;A;Y;1,17;238,32;243729,69;243968,01;184224,0;140880,0;0,0;0,0;100,0;100,0;19438,06;711,52;27,32;0;198
FUDI74XNQ;C;Z;1,74;0,03;0,0;0,03;0,0;24,0;0,0;0,0;100,0;100,0;1,52;0,12;12,5;0;198
FUFK88WUQ;B;Y;4,16;80,7;96799,42;96880,12;22464,0;20244,0;612,0;3,02;98,48;96,98;1887,64;102,24;18,46;3;198
FUGF47XKY;C;Z;2,18;3,27;18763,89;18767,15;8064,0;13520,0;7976,0;58,99;94,95;41,01;166,34;68,28;2,44;10;198
FUQQ36LIP;C;X;4,86;20,65;25771,48;25792,13;5148,0;4680,0;72,0;1,54;98,99;98,46;415,15;23,64;17,56;2;198
FUXY88GDB;A;X;1,05;188,93;407447,15;407636,08;338688,0;189280,0;0,0;0,0;100,0;100,0;17492,93;955,96;18,3;0;198
FVBD37HQB;C;X;1,94;16,39;16165,6;16181,99;7744,0;6578,0;0,0;0,0;100,0;100,0;812,83;33,22;24,47;0;198
FVCJ30RVH;B;X;1,79;56,87;104367,88;104424,75;53760,0;45123,0;0,0;0,0;100,0;100,0;3153,84;227,89;13,84;0;198
FVUO62HTP;C;Z;1,46;1,37;0,0;1,37;0,0;2676,0;2424,0;90,58;95,96;9,42;88,24;13,52;6,53;8;198
FWRK19CWC;C;Z;5,53;1,16;0,0;1,16;0,0;234,0;0,0;0,0;100,0;100,0;20,48;1,18;17,33;0;198
FWYL31SUW;B;Z;2,02;47,38;84424,19;84471,57;38874,0;53377,0;9058,0;16,97;92,93;83,03;2383,91;269,58;8,84;14;198
FXCI18WCK;C;Y;4,01;7,84;2195,05;2202,89;528,0;1456,0;368,0;25,27;97,47;74,73;185,78;7,35;25,26;5;198
FXXV11MGP;C;Z;4,72;72,69;12613,48;12686,17;2592,0;6072,0;0,0;0,0;100,0;100,0;1451,33;30,67;47,33;0;198
